75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
75,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,75
75,7,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75
75,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,75
75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75
75,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,75
75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75
75,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,75
75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75
75,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,75
75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,6,75,7,75
75,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,75
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
